City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
vaini,-21.2,-175.2,78.8,94,90,5.82,TO,05-31-20
thompson,55.74,-97.86,69.8,22,75,3.36,CA,05-31-20
ciudad bolivar,8.12,-63.55,82.8,71,99,5.68,VE,05-31-20
necochea,-38.55,-58.74,48.99,88,83,17.0,AR,05-31-20
hami,42.8,93.45,74.07,20,0,15.9,CN,05-31-20
luderitz,-26.65,15.16,55.4,82,0,2.24,NA,05-31-20
karpogory,64.0,44.45,34.75,90,68,5.37,RU,05-31-20
nishihara,26.18,127.76,80.6,83,75,5.82,JP,05-31-20
bluff,-46.6,168.33,46.11,71,1,6.2,NZ,05-31-20
daoukro,7.06,-3.96,73.56,96,89,2.21,CI,05-31-20
tallahassee,30.44,-84.28,91.4,33,20,8.05,US,05-31-20
saskylakh,71.92,114.08,45.1,82,97,4.52,RU,05-31-20
hermanus,-34.42,19.23,57.0,93,0,4.54,ZA,05-31-20
paliseul,49.9,5.14,55.0,63,25,7.58,BE,05-31-20
waipawa,-41.41,175.52,59.0,73,100,4.0,NZ,05-31-20
albany,42.6,-73.97,57.0,52,26,3.0,US,05-31-20
ushuaia,-54.8,-68.3,39.2,86,99,6.69,AR,05-31-20
makaha,21.47,-158.22,86.0,54,40,12.75,US,05-31-20
yellowknife,62.46,-114.35,57.2,44,75,20.8,CA,05-31-20
nanakuli,21.39,-158.15,86.0,54,40,12.75,US,05-31-20
fortuna,40.6,-124.16,63.0,82,20,13.87,US,05-31-20
chokurdakh,70.63,147.92,47.52,49,95,3.18,RU,05-31-20
puerto ayora,-0.74,-90.35,75.99,89,37,3.0,EC,05-31-20
rio tuba,8.51,117.43,84.72,66,47,4.27,PH,05-31-20
tokur,53.13,132.9,46.8,91,100,5.97,RU,05-31-20
port alfred,-33.59,26.89,63.0,62,10,7.61,ZA,05-31-20
punta arenas,-53.15,-70.92,41.0,80,100,9.17,CL,05-31-20
